stud_id,comp_id,stud_name,Stud_Name_for_Gmail,email,department,gpa,grade,telephone
241001,,ابانوب امير يوسف يعقوب,Abanoub,abanoub@gmail.com,COMMUNICATION,3.8,A,010 1234 5678
241002,,ابانوب شفيق زاخر عطيه,Abanoub1,abanoub1@gmail.com,COMMUNICATION,2.8,B,010 1234 5679
241003,,ابانوب مينا كيرلس,Abanoub2,abanoub2@gmail.com,COMMUNICATION,2.3,B,010 1234 5680
241004,,ابرام ماهر جرجس بشاى,Abram,abram@gmail.com,COMMUNICATION,3,B,010 1234 5681
241005,,ابراهيم محمد حسن ابراهيم العكل,Ebrahim,ebrahim@gmail.com,COMMUNICATION,0.5,F,010 1234 5682
241006,,احمد ابراهيم سالم احمد الجعفري,Ahmed,ahmed@gmail.com,COMMUNICATION,0.7,F,010 1234 5683
241007,,احمد إسماعيل فايق,Ahmed1,ahmed1@gmail.com,COMMUNICATION,0.1,F,010 1234 5684
241008,,احمد حسن عبدالمجيد حسن السيد,Ahmed2,ahmed2@gmail.com,COMMUNICATION,0.5,F,010 1234 5685
241009,,احمد حسين احمد محمد عبدالمحسن,Ahmed3,ahmed3@gmail.com,COMMUNICATION,2.3,B,010 1234 5686
241010,,احمد خالد السيد احمد طلحا,Ahmed4,ahmed4@gmail.com,COMMUNICATION,3,B,010 1234 5687
241011,,احمد خالد حسين نجيب محمد عزت,Ahmed5,ahmed5@gmail.com,COMMUNICATION,1.6,C,011 1234 5687
241012,,احمد رجب عثمان,Ahmed6,ahmed6@gmail.com,COMMUNICATION,2,C,012 1234 5687
241013,,احمد سمير جوده السيد ابراهيم,Ahmed7,ahmed7@gmail.com,COMMUNICATION,3.3,A,010 2345 6789
241014,,احمد سيد محمد بيومي محمد,Ahmed8,ahmed8@gmail.com,COMMUNICATION,2.7,B,011 3456 7890
241015,,احمد عصام صالح محمود,Ahmed9,ahmed9@gmail.com,COMMUNICATION,0.1,F,012 4567 8901
241016,,احمد مجدي طلعت عبدالمجيد العرباوي,Ahmed10,ahmed10@gmail.com,COMPUTER,2.4,B,010 8765 4321
241017,,احمد محمد عبدالغنى على شعله,Ahmed11,ahmed11@gmail.com,COMPUTER,3,B,011 9876 5432
241018,,احمد محمود سند عبدالله,Ahmed12,ahmed12@gmail.com,COMPUTER,1.5,C,012 0987 6543
241019,,احمد محمود عامر عوده عبدالكريم,Ahmed13,ahmed13@gmail.com,COMPUTER,2.4,B,010 5432 1098
241020,,احمد محمود محمد جوده ابراهيم,Ahmed14,ahmed14@gmail.com,COMPUTER,3.6,A,011 4321 0987
241021,,احمد مصطفى ابراهيم احمد,Ahmed15,ahmed15@gmail.com,COMPUTER,1,D,012 3210 9876
241022,,اسراء مجدى مسعد حسن الجداوى,Esraa,esraa@gmail.com,COMPUTER,0.4,F,010 6789 0123
241023,,اسلام ناصر محمود ابو الخير هيكل,Eslam,eslam@gmail.com,COMPUTER,1,D, 010 7890 1234
241024,,اشرف سمعان فوزي,Ashraf,ashraf@gmail.com,COMPUTER,3.9,A,011 0987 6543
241025,,اشرقت نادر هادي,Asrakat,asrakat@gmail.com,COMPUTER,0.7,F,012 5432 1098
241026,,امنه على عبدالوهاب اسماعيل,Amna,amna@gmail.com,COMPUTER,1.3,C,010 2345 6789
241027,,انطونيوس عماد كامل سعيد,Antonious,antonious@gmail.com,COMPUTER,1.8,C,011 3456 7890
241028,,ايمان محمد عبدالحميد عبدالوهاب,Eman,eman@gmail.com,COMPUTER,1.2,C,012 4567 8901
241029,,ايه حسام على محمد,Aya,aya@gmail.com,COMPUTER,0.3,F,010 8765 4321
241030,,بافلى جورج حسنى دوس عبدالله,Pavly,pavly@gmail.com,COMPUTER,0.5,F,011 9876 5432
241031,,بسمة احمد صابر محمد بدر اللازق,Basma,basma@gmail.com,CIVIL,0.8,F,012 0987 6543
241032,,بسمله يوسف اسماعيل احمد,Basmala,basmala@gmail.com,CIVIL,2.5,B,010 5432 1098
241033,,بسنت ايهاب صابر اسماعيل احمد,Basant,basant@gmail.com,CIVIL,0.4,F,010 6789 0123
241034,,بطرس لبيب سليمان رزق,Potros,potros@gmail.com,CIVIL,0.7,F,011 7890 1234
241035,,بولا ايمن ميخائيل بقطر,Paula,paula@gmail.com,CIVIL,3.8,A,012 0987 2345
241036,,بولا عماد شهدى عزمى,Paula1,paula1@gmail.com,CIVIL,1.9,C,010 5432 3456
241037,,بولا غبريال شكري,Paula2,paula2@gmail.com,CIVIL,2.7,B,011 6543 4567
241038,,تقى سامح صلاح السيد سويلم,Toqa,toqa@gmail.com,CIVIL,0.8,F,012 7654 5678
241039,,تونى ميخائيل سريان بشاى,Tony,tony@gmail.com,CIVIL,1.7,C,010 8765 6789
241040,,جمال جميل محمود,Gamal,gamal@gmail.com,CIVIL,1.7,C,011 9876 7890
241041,,حازم محمد غريب,Hazem,hazem@gmail.com,CIVIL,0.1,F,012 0987 8901
241042,,حمزة فايق طارق,Hamza,hamza@gmail.com,CIVIL,0.9,F,010 5432 9012
241043,,خالد عصام محمود,Khaled,khaled@gmail.com,CIVIL,0.8,F,010 2345 9012
241044,,خالد مجاهد ابراهيم على الابيض,Khaled1,khaled1@gmail.com,CIVIL,3.6,A,011 3456 0123
241045,,داليا خالد محمد حنفى,Dalia,dalia@gmail.com,CIVIL,2.5,B,012 4567 1234
241046,,دانيال فؤاد مينا,Daniel,daniel@gmail.com,CIVIL,0.3,F,010 5678 2345
241047,,دميانه شارل شاكر زكي جرجس,Demiana,demiana@gmail.com,CIVIL,3.6,A,011 6789 3456
241048,,رامي خيري شهاب,Ramy,ramy@gmail.com,CIVIL,1.8,C,012 7890 4567
241049,,رفيق ايهاب صالح,Rafik,rafik@gmail.com,CIVIL,2.8,B,010 8901 5678
